word,regex
абьюз,[Аа]бь?юз[а-я]*
апскёртинг,[Аа]пск[е|ё]рт[а-я]*
аутинг,\b[Аа]ути[нтш][а-я]*
аффексьонадо,"[Аа]ф{1,2}ексьонад[а-я]*"
ахтунг,[Аа]хтунг[а-я]*
бодипозитив,[Бб][о|а]ди ?-?позитив[а-я]*
бодишейминг,[Бб][о|а]ди ?шейм[а-я]*
бро,\b[Бб]ро\b
броманс,[Бб]ром[аеэ]нс[а-я]*
буллинг,"[Бб]ул{1,2}[ияю][нтл][а-я]*"
виктимблейминг,[Вв]иктим ?-?блейми[а-я]*
газлайтинг,[Гг]азлайт[а-я]*
гайз,\b[Гг]айзы?\b
каминаут,[Кк][ао]м[ие]нг?-? ?аут[а-я]*
квир,\b[Кк]вир-?[а-я]*
кондом,[Кк]ондом[а-я]*
кун,\b[Кк]ун\b|\b[Кк]ун[ыауое]\b|\b[Кк]ун[ыауоеч][мвхиц]и?к?[а-я]*\b
кэтколлинг,"[Кк][аеэ]ткол{1,2}ин[а-я]*"
лукизм,[Лл]уки[сз][а-я]*
мейл-фри,[Мм][е|э]йл ?-?фри
менсплейнинг,[Мм]енсплейн[а-я]*
менспрединг,[Мм]енспред[а-я]*
мисгендеринг,[Мм]исгендер[а-я]*
муд,\b[Мм]уд\b
нуна,\b[Нн]уна\b
омг,\b[Оо][Мм][Гг]\b
прайд,[Пп]райд[а-я]*
пролайф,[Пп]ролайф[а-я]*
прочойс,[Пп]рочойс[а-я]*
пейринг,[Пп][еэ]йри[а-я]*
реджектор,[Рр]еджект[а-я]*
сайз,[а-яА-Я]*-? ?сай[сз]
сасный,\b[Сс]асн[аыоу][еяюймхгм]и?о?у?\b
сверф,[Сс][Вв][Ее][Рр][Фф][а-я]*
селфхарм,[Сс]елф[ -]?харм[а-я]*
сталкинг,[Сс]талкинг[а-я]*
терф,[Тт][Ее][Рр][Фф][а-я]*
томбой,[Тт]омбо[а-я]*
тян,\b[Тт]ян\b|\b[Тт]ян[ок][ач][а-я]*\b
фак,\b[Фф][Аа][Кк]\b
френдзона,[Фф]р[еэ]нд-? ?зон[а-я]*
фэт,\b[Фф]эт-? ?[а-я]*\b
харрасмент,"[Хх]ар{1,2}ас[а-я]*"
чайлдлесс,"[Чч]айлд ?лес{1,2}"
"чайлдфри (чайлд-фри, ЧФ, чф, Ч-фри)",[Чч]айлд ?-?фри|\b[Чч][Фф]\b|[Чч]-фри
"чайлдхейт (чайлд-хейт, ЧХ, чх, Ч-хейт)",[Чч]айлд ?-?хейт[а-я]*|\b[Чч][Хх]\b|[Чч]-хейт[а-я]*
шейминг,[Шш]ейм[ия][т]?[а-я]*
"шипперный (шип-шип, шипперить)","[Шш]ип{1,2}ер\b|[Шш]ип{1,2}ер[а-я]*|[Шш]ип-шип"
эйджизм,[Ээ]йджи[а-я]*
эмпауэрмент,[Ээ]мпауэ?[а-я]*
батхерт,[Бб][аэе][тд]т?х[её]рт[а-я]*
втф,\b[Вв][Тт][Фф]\b
имхо,\b[Ии][Мм][Хх][Оо]\b
пруф,\b[Пп]руф[а-я]*
фейспалм,\b[Фф][еэ]йс-? ?палм[а-я]*
френдли,\b[а-яА-Я]*-? ?фр[еэ]ндли\b
